Id_Passageiro,Sobrevivente,Tipo_Bilhete,Nome,Sexo,Idade,Qtd_Irmaos_Conjuges,Qtd_Pais_filhos,Num_Bilhete,Tarifa_Passageiro,Num_Cabine,Porto_de_Embarque
1,Não,3ª Classe,"Braund, Mr. Owen Harris",Masculino,22,1,0,A/5 21171,7.25,,Southampton
2,Sim,1ª Classe,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Feminino,38,1,0,PC 17599,71.2833,C85,Cherbourg
3,Sim,3ª Classe,"Heikkinen, Miss. Laina",Feminino,26,0,0,STON/O2. 3101282,7.925,,Southampton
4,Sim,1ª Classe,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Feminino,35,1,0,113803,53.1,C123,Southampton
5,Não,3ª Classe,"Allen, Mr. William Henry",Masculino,35,0,0,373450,8.05,,Southampton
6,Não,3ª Classe,"Moran, Mr. James",Masculino,28,0,0,330877,8.4583,,Queenstown
7,Não,1ª Classe,"McCarthy, Mr. Timothy J",Masculino,54,0,0,17463,51.8625,E46,Southampton
8,Não,3ª Classe,"Palsson, Master. Gosta Leonard",Masculino,2,3,1,349909,21.075,,Southampton
9,Sim,3ª Classe,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Feminino,27,0,2,347742,11.1333,,Southampton
10,Sim,2ª Classe,"Nasser, Mrs. Nicholas (Adele Achem)",Feminino,14,1,0,237736,30.0708,,Cherbourg
11,Sim,3ª Classe,"Sandstrom, Miss. Marguerite Rut",Feminino,4,1,1,PP 9549,16.7,G6,Southampton
12,Sim,1ª Classe,"Bonnell, Miss. Elizabeth",Feminino,58,0,0,113783,26.55,C103,Southampton
13,Não,3ª Classe,"Saundercock, Mr. William Henry",Masculino,20,0,0,A/5. 2151,8.05,,Southampton
14,Não,3ª Classe,"Andersson, Mr. Anders Johan",Masculino,39,1,5,347082,31.275,,Southampton
15,Não,3ª Classe,"Vestrom, Miss. Hulda Amanda Adolfina",Feminino,14,0,0,350406,7.8542,,Southampton
16,Sim,2ª Classe,"Hewlett, Mrs. (Mary D Kingcome) ",Feminino,55,0,0,248706,16.0,,Southampton
17,Não,3ª Classe,"Rice, Master. Eugene",Masculino,2,4,1,382652,29.125,,Queenstown
18,Sim,2ª Classe,"Williams, Mr. Charles Eugene",Masculino,28,0,0,244373,13.0,,Southampton
19,Não,3ª Classe,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Feminino,31,1,0,345763,18.0,,Southampton
20,Sim,3ª Classe,"Masselmani, Mrs. Fatima",Feminino,28,0,0,2649,7.225,,Cherbourg
21,Não,2ª Classe,"Fynney, Mr. Joseph J",Masculino,35,0,0,239865,26.0,,Southampton
22,Sim,2ª Classe,"Beesley, Mr. Lawrence",Masculino,34,0,0,248698,13.0,D56,Southampton
23,Sim,3ª Classe,"McGowan, Miss. Anna ""Annie""",Feminino,15,0,0,330923,8.0292,,Queenstown
24,Sim,1ª Classe,"Sloper, Mr. William Thompson",Masculino,28,0,0,113788,35.5,A6,Southampton
25,Não,3ª Classe,"Palsson, Miss. Torborg Danira",Feminino,8,3,1,349909,21.075,,Southampton
26,Sim,3ª Classe,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Feminino,38,1,5,347077,31.3875,,Southampton
27,Não,3ª Classe,"Emir, Mr. Farred Chehab",Masculino,28,0,0,2631,7.225,,Cherbourg
28,Não,1ª Classe,"Fortune, Mr. Charles Alexander",Masculino,19,3,2,19950,263.0,C23 C25 C27,Southampton
29,Sim,3ª Classe,"O'Dwyer, Miss. Ellen ""Nellie""",Feminino,28,0,0,330959,7.8792,,Queenstown
30,Não,3ª Classe,"Todoroff, Mr. Lalio",Masculino,28,0,0,349216,7.8958,,Southampton
31,Não,1ª Classe,"Uruchurtu, Don. Manuel E",Masculino,40,0,0,PC 17601,27.7208,,Cherbourg
32,Sim,1ª Classe,"Spencer, Mrs. William Augustus (Marie Eugenie)",Feminino,28,1,0,PC 17569,146.5208,B78,Cherbourg
33,Sim,3ª Classe,"Glynn, Miss. Mary Agatha",Feminino,28,0,0,335677,7.75,,Queenstown
34,Não,2ª Classe,"Wheadon, Mr. Edward H",Masculino,66,0,0,C.A. 24579,10.5,,Southampton
35,Não,1ª Classe,"Meyer, Mr. Edgar Joseph",Masculino,28,1,0,PC 17604,82.1708,,Cherbourg
36,Não,1ª Classe,"Holverson, Mr. Alexander Oskar",Masculino,42,1,0,113789,52.0,,Southampton
37,Sim,3ª Classe,"Mamee, Mr. Hanna",Masculino,28,0,0,2677,7.2292,,Cherbourg
38,Não,3ª Classe,"Cann, Mr. Ernest Charles",Masculino,21,0,0,A./5. 2152,8.05,,Southampton
39,Não,3ª Classe,"Vander Planke, Miss. Augusta Maria",Feminino,18,2,0,345764,18.0,,Southampton
40,Sim,3ª Classe,"Nicola-Yarred, Miss. Jamila",Feminino,14,1,0,2651,11.2417,,Cherbourg
41,Não,3ª Classe,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Feminino,40,1,0,7546,9.475,,Southampton
42,Não,2ª Classe,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Feminino,27,1,0,11668,21.0,,Southampton
43,Não,3ª Classe,"Kraeff, Mr. Theodor",Masculino,28,0,0,349253,7.8958,,Cherbourg
44,Sim,2ª Classe,"Laroche, Miss. Simonne Marie Anne Andree",Feminino,3,1,2,SC/Paris 2123,41.5792,,Cherbourg
45,Sim,3ª Classe,"Devaney, Miss. Margaret Delia",Feminino,19,0,0,330958,7.8792,,Queenstown
